31 0  69.4954 18
1974 -2.6378  1087.6 18
1975 4.12806  1078.05 18
1976 -3.52445  1095.3 18
1977 2.61563  1098.97 18
1978 3.24631  1092.4 18
1979 3.426  1086.7 18
1980 -2.51261  1104.11 18
1981 2.58823  1099.38 18
1982 -2.60746  1100.97 18
1983 -2.79804  1083.63 18
1984 -3.29633  1064.55 18
1985 3.23585  1063.3 18
1986 -3.14041  1047.04 18
1987 -2.6481  1050.2 18
1988 2.58522  1046.06 18
1989 -3.1997  1036.76 18
1990 4.15702  1025.72 18
1991 3.51452  1014.7 18
1992 -2.90495  1004.89 18
1993 2.91848  975.534 18
1994 3.11525  977.176 18
1995 3.75483  964.097 18
1996 -2.55453  970.75 18
1997 -2.30264  976.239 18
1998 -2.42859  976.493 18
1999 3.23814  976.577 18
2000 -3.5064  965.081 18
2001 -3.13612  972.439 18
2002 -4.07606  982.219 18
2003 3.39134  997.622 18
2004 3.85994  985.058 18
2005 3.36566  986.089 18
2006 -3.24873  968.622 18
2007 3.94862  959.199 18
2008 3.56503  962.946 18
2009 -3.08507  989.903 18
2010 -3.67703  977.991 18
2011 2.72082  981.513 18
2012 3.21224  999.822 18
2013 -2.61823  1037.67 18
2014 2.34101  1045.52 18
2015 -2.55183  1036.95 18
2016 2.73426  1031.17 18
2017 -1.96409  1024.68 18
2018 -2.46463  1014.36 18
2019 2.79929  1007.8 18
2020 2.26428  1002.12 18
2021 2.43216  1006.42 18
2022 -2.7176  993.023 18
2023 -2.38785  996.055 18
2024 -2.80554  992.894 18
2025 2.49752  988.492 18
2026 -2.59312  992.287 18
2027 3.14091  993.456 18
2028 2.55667  997.817 18
2029 -2.60808  1003.55 18
2030 -3.38069  1010.72 18
2031 -2.9623  1006.98 18
2032 3.58606  993.192 18
2033 -3.08739  990.913 18
2034 -2.59258  983.523 18
2035 -3.19389  972.412 18
2036 -3.11313  980.857 18
2037 2.58161  962.331 18
2038 -2.54059  949.827 18
2039 2.69987  945.21 18
2040 -2.48464  947.029 18
2041 3.05037  935.271 18
2042 -3.45529  933.193 18
2043 -2.7809  942.13 18
2044 2.15182  959.429 18
2045 2.38417  967.529 18
2046 2.17676  976.217 18
2047 -2.84117  973.742 18
2048 -2.82136  984.631 18
2049 -4.16693  981.62 18
2050 -3.12922  983.686 18
2051 -2.74993  1001.06 18
2052 2.8803  1007.7 18
2053 -2.53573  1013.55 18
2054 -3.1077  1025.83 18
2055 3.02803  1047.2 18
2056 2.16735  1060.52 18
2057 -2.75067  1081.15 18
2058 2.57376  1083 18
2059 -2.82137  1083.07 18
2060 2.36021  1078.8 18
2061 -2.65133  1080.09 18
2062 2.44647  1057.71 18
2063 3.44498  1045.73 18
2064 -2.4404  1041.65 18
2065 -2.80648  1043.15 18
2066 2.92879  1050.9 18
2067 2.50686  1047.42 18
2068 -2.45707  1050.07 18
2069 -2.04827  1051.49 18
2070 2.94522  1042.37 18
2071 2.16086  1049.99 18
2072 -2.70912  1057.82 18
2073 2.74335  1035.94 18
2074 2.86729  996.292 18
2075 -3.37025  984.108 18
2076 -2.46624  988.44 18
2077 3.29509  979.472 18
2078 -2.74923  986.964 18
2079 -2.35639  981.831 18
2080 -3.24194  981.21 18
2081 2.77975  984.183 18
2082 -2.55926  979.606 18
2083 3.61592  966.662 18
2084 2.73637  964.809 18
2085 -4.28168  952.588 18
2086 -3.28661  956.719 18
2087 2.94602  957.617 18
2088 2.55986  962.684 18
2089 3.73133  961.094 18
2090 2.50717  967.326 18
2091 -3.03612  965.122 18
2092 2.30563  972.666 18
2093 -2.67277  962.523 18
2094 2.5654  962.439 18
2095 2.69165  964.235 18
2096 3.00872  955.9 18
2097 2.2337  959.55 18
2098 2.6172  957.126 18
2099 2.31026  962.383 18
2100 -3.38293  948.866 18
2101 -2.59072  948.848 18
2102 3.03921  950.055 18
2103 -2.88707  951.653 18
2104 -2.38868  956.015 18
2105 -2.46408  951.287 18
2106 2.34439  966.357 18
2107 2.11142  966.024 18
2108 -2.46299  966.342 18
2109 -2.52728  952.241 18
2110 -2.74811  942.151 18
2111 2.52156  951.354 18
2112 3.57805  951.691 18
2113 2.86718  949.238 18
2114 -3.51684  945.402 18
2115 2.92526  952.876 18
2116 2.14353  928.975 18
2117 2.97438  927.171 18
2118 -3.2085  902.249 18
2119 2.78706  894.252 18
2120 -2.57719  883.764 18
2121 2.4635  887.165 18
2122 2.52166  886.643 18
2123 -2.77994  894.142 18
2124 -2.43028  908.099 18
2125 -3.8986  893.396 18
2126 3.19204  891.86 18
2127 3.08113  890.738 18
2128 2.65842  900.827 18
2129 -2.60101  907.045 18
2130 2.56808  911.488 18
2131 -2.80556  901.186 18
2132 2.92225  898.799 18
2133 3.16652  887.96 18
2134 -3.0618  887.731 18
2135 2.74137  891.418 18
2136 2.95633  888.99 18
2137 -4.68841  865.192 18
2138 4.20552  898.905 18
2139 2.40459  915.959 18
2140 -3.5131  918.316 18
2141 2.466  991.162 18
2142 3.51683  993.624 18
2143 2.89313  988.059 18
2144 -3.49327  984.049 18
2145 3.85457  1005.8 18
2146 3.27288  1025.77 18
2147 -3.35378  1060.55 18
2148 -2.9807  1064.34 18
2149 2.52328  1067.96 18
2150 2.33827  1058.39 18
2151 -2.82961  1064.69 18
2152 -3.12328  1062.52 18
2153 -2.81092  1061.24 18
2154 -2.83262  1070.08 18
2155 2.67297  1075.1 18
2156 2.59483  1077.79 18
2157 -2.56208  1076.67 18
2158 3.08068  1070.6 18
2159 -3.75857  1068.24 18
2160 -2.87356  1087.8 18
2161 2.43328  1093.21 18
2162 2.77443  1099.98 18
2163 -2.58585  1105.15 18
2164 -2.71477  1115.45 18
2165 -2.4504  1118.86 18
2166 -3.10211  1123.28 18
2167 2.4988  1116.58 18
2168 2.96073  1106.02 18
2169 3.17997  1101.12 18
2170 3.01564  1105.12 18
2171 -4.84046  1094.49 18
2172 4.26381  1093.33 18
2173 2.77052  1096.02 18
2174 -3.04122  1104.67 18
2175 -3.30564  1110.39 18
2176 -4.09287  1096.78 18
2177 3.05198  1100.93 18
2178 2.67509  1091.87 18
2179 3.36164  1079.12 18
2180 -3.752  1083.21 18
2181 -2.86037  1093.37 18
2182 3.08204  1094.65 18
2183 3.60415  1085.4 18
2184 4.00219  1082.75 18
2185 -3.74342  1081.81 18
2186 2.98125  1078.34 18
2187 -2.73564  1081.02 18
2188 -3.46849  1078.8 18
2189 3.35694  1077.23 18
2190 -3.69842  1071.44 18
2191 4.27794  1071.54 18
2192 2.87077  1089.8 18
2193 -2.50494  1098.49 18
2194 -3.69564  1088.93 18
2195 3.45035  1091.5 18
2196 2.43821  1093.49 18
2197 -2.65925  1091.14 18
2198 -3.24622  1097.58 18
2199 -2.44407  1082.51 18
2200 2.39043  1084.15 18
2201 -2.83727  1074.97 18
2202 2.78563  1019.86 18
2203 2.70251  1015.97 18
2204 3.09707  1019.68 18
2205 -3.11848  1004.77 18
2206 -3.59194  981.646 18
2207 3.02117  977.954 18
2208 2.97511  947.918 18
2209 2.3642  954.664 18
2210 -2.75531  954.805 18
2211 2.85255  952.684 18
2212 2.92231  936.728 18
2213 2.17026  943.596 18
2214 -3.39218  935.221 18
2215 -2.0163  930.932 18
2216 2.5116  924.08 18
2217 2.78349  914.098 18
2218 2.62406  918.9 18
2219 -2.86044  925.473 18
2220 3.03768  929.135 18
2221 2.92731  917.879 18
2222 -3.5055  922.903 18
2223 -3.16691  918.248 18
2224 -2.94755  916.437 18
2225 2.44059  903.114 18
2226 2.6012  901.977 18
2227 3.56933  902.176 18
2228 2.70308  912.052 18
2229 -2.90343  905.818 18
2230 -3.12654  895.639 18
2231 3.61283  893.606 18
2232 2.85193  909.804 18
2233 -2.6502  908.86 18
2234 -2.57516  903.625 18
2235 3.04761  902.971 18
2236 -2.24505  905.851 18
2237 2.85204  905.961 18
2238 4.2504  894.323 18
2239 -2.98001  909.657 18
2240 -3.27701  911.264 18
2241 -2.88249  911.791 18
2242 2.99317  918.848 18
2243 3.28227  920.84 18
2244 -2.90988  927.147 18
2245 -2.80268  924.526 18
2246 2.90242  921.34 18
2247 -2.68409  936.956 18
2248 -4.28004  915.602 18
2249 3.02621  935.85 18
2250 3.20679  933.309 18
2251 3.20157  930.45 18
2252 3.51382  927.35 18
2253 -3.78626  927.184 18
2254 2.86614  917.46 18
2255 2.44417  916.43 18
2256 2.94107  913.9 18
2257 -2.89331  925.912 18
2258 -2.84121  933.06 18
2259 2.82624  922.203 18
2260 3.07185  915.055 18
2261 -2.45198  912.616 18
2262 -3.94998  915.408 18
2263 3.35009  915.435 18
2264 3.36594  901.64 18
2265 3.36944  907.059 18
2266 -2.79775  921.824 18
2267 -3.06623  924.368 18
2268 -3.07585  921.375 18
2269 -3.24513  931.136 18
2270 3.92241  911.698 18
2271 -3.31022  904.083 18
2272 4.36808  891.301 18
2273 3.29776  898.66 18
2274 -3.72882  897.466 18
2275 2.72651  913.193 18
2276 -3.06164  913.771 18
2277 -3.81837  912.188 18
2278 3.22203  917.247 18
2279 3.55784  918.917 18
2280 -3.33951  917.401 18
2281 -2.3594  920.787 18
2282 -2.40285  910.979 18
2283 2.18862  904.888 18
2284 2.83122  905.812 18
2285 -3.29158  920.736 18
2286 2.51081  932.466 18
2287 2.94336  936.957 18
2288 -2.86734  929.097 18
2289 -2.76382  941.457 18
2290 -3.75502  948.415 18
2291 -2.51174  974.949 18
2292 3.23123  965.482 18
2293 -3.19156  957.633 18
2294 -3.211  957.314 18
2295 2.90013  961.443 18
2296 -2.40196  958.347 18
2297 -2.98029  959.428 18
2298 -2.94929  959.138 18
2299 -3.01136  958.571 18
2300 2.41465  956.817 18
2301 2.16776  970.003 18
2302 2.08331  972.651 18
2303 -2.80537  964.147 18
2304 -2.04258  962.494 18
2305 3.42579  970.201 18
2306 2.3087  997.401 18
2307 -2.64522  1008.78 18
2308 -2.62549  1008.58 18
2309 3.23201  1012.72 18
2310 -2.52931  1008.22 18
2311 -3.512  998.959 18
2312 -2.70972  994.168 18
2313 2.96681  988.376 18
2314 3.21901  979.068 18
2315 2.73965  998.044 18
2316 -2.89357  987.939 18
2317 -2.16405  982.44 18
2318 -2.76991  966.972 18
2319 -2.40231  962.086 18
2320 2.95766  972.17 18
2321 -3.01084  962.343 18
2322 -2.35465  971.018 18
2323 -2.21804  968.313 18
2324 2.96035  970.589 18
2325 2.92281  973.201 18
2326 -3.11211  957.084 18
2327 -3.34261  948.915 18
2328 -3.64284  950.915 18
2329 -2.40686  948.782 18
2330 -2.5536  942.736 18
2331 3.99693  931.28 18
2332 -3.73182  928.685 18
2333 -3.21624  936.358 18
2334 3.90914  937.868 18
2335 3.19433  941.201 18
2336 -4.82749  925.009 18
2337 4.33697  927.606 18
2338 3.15496  933.647 18
2339 -2.9785  934.109 18
2340 2.44444  950.166 18
2341 -2.68851  975.514 18
2342 2.71403  988.935 18
2343 -2.94743  1009.97 18
2344 2.37552  1019.38 18
2345 -2.99673  1025.5 18
2346 2.94249  1033.92 18
2347 2.31701  1053.52 18
2348 2.95194  1041.61 18
2349 -2.69048  1038.3 18
2350 2.7632  1027.12 18
2351 2.55204  1020.57 18
2352 2.87971  1025.8 18
2353 -2.9985  1032.82 18
2354 2.69474  1041.91 18
2355 2.68129  1040.37 18
2356 -2.82334  1034.34 18
2357 2.08821  1044.49 18
2358 -2.03947  1035.72 18
2359 -2.51604  1035.44 18
2360 -3.35805  1020.7 18
2361 2.34089  1022.29 18
2362 3.05493  1014.96 18
2363 -2.8967  1014.79 18
2364 -2.45566  1011.82 18
2365 -3.14674  992.939 18
2366 -2.77593  981.483 18
2367 3.49548  965.651 18
2368 2.79833  961.81 18
2369 2.86841  952.389 18
2370 -4.06958  933.562 18
2371 -4.29282  940.101 18
2372 2.8469  948.913 18
2373 3.58114  949.897 18
2374 3.79664  961.622 18
2375 -3.60325  964.036 18
2376 -3.12005  967.784 18
2377 2.99426  966.454 18
2378 4.04131  981.056 18
2379 2.29621  1003.67 18
2380 2.80471  1000.51 18
2381 -2.91592  999.22 18
2382 -3.66783  1006.83 18
2383 3.10327  1021.6 18
2384 -3.11101  1027.2 18
2385 -2.94806  1031.62 18
2386 -3.04819  1039.25 18
2387 -2.81313  1038.34 18
2388 -2.30674  1035.03 18
2389 3.08065  1037.93 18
2390 2.42406  1047.49 18
2391 2.01487  1061.06 18
2392 -3.10139  1059.92 18
2393 3.01089  1086.95 18
2394 -2.35537  1088.45 18
2395 -2.16966  1084.83 18
2396 -2.34716  1082.69 18
2397 2.78197  1073.08 18
2398 -2.53788  1070.19 18
2399 -2.77362  1072.83 18
2400 2.91602  1090.94 18
2401 -2.79728  1082.67 18
2402 2.91735  1056.92 18
2403 -3.14573  1044.54 18
2404 3.85631  1031.31 18
2405 2.75173  997.738 18
2406 -3.44461  1008.44 18
2407 2.42671  991.202 18
2408 -3.14196  964.832 18
2409 2.6936  966.575 18
2410 -2.68073  978.181 18
2411 3.26091  975.137 18
2412 -3.38028  978.557 18
2413 -2.6981  968.233 18
2414 -3.48145  967.19 18
2415 3.53275  958.569 18
2416 3.80086  950.629 18
2417 -2.54056  955.765 18
2418 -2.48678  960.809 18
2419 -4.00887  945.222 18
2420 -2.68845  954.78 18
2421 -2.88959  949.975 18
2422 3.17789  961.209 18
2423 3.1523  968.365 18
2424 -3.24512  963.961 18
2425 -2.31587  988.045 18
2426 2.43691  993.312 18
2427 -3.16503  1003.5 18
2428 -2.51644  1002.18 18
2429 3.75164  991.872 18
2430 2.84973  1016.45 18
2431 3.17877  1032.41 18
2432 -3.38208  1018.79 18
2433 -2.9389  1023.71 18
2434 -3.45395  1023.54 18
2435 -3.35292  1012.54 18
2436 3.11559  1019.62 18
2437 2.99166  1013.06 18
2438 2.86997  1017.88 18
2439 2.83777  1014.2 18
2440 2.97102  1005.11 18
2441 -2.67209  1011.92 18
2442 -3.19742  1020.11 18
2443 2.85188  1016.88 18
2444 3.61103  1004.93 18
2445 -2.12645  997.775 18
2446 2.19217  998.091 18
2447 -2.81601  996.676 18
2448 2.83676  1005.68 18
2449 -3.58406  997.911 18
2450 4.01272  984.292 18
2451 -2.73055  991.369 18
2452 -3.01494  993.308 18
2453 3.12342  996.947 18
2454 -2.93297  976.538 18
2455 2.89506  983.149 18
2456 3.34249  989.526 18
2457 -4.08013  994.517 18
2458 -3.56269  1001.18 18
2459 2.7139  1016.2 18
2460 -2.40643  1009.51 18
2461 2.35807  988.787 18
2462 -2.68959  987.816 18
2463 3.39181  981.679 18
2464 -2.96226  979.908 18
2465 -2.48184  992.681 18
2466 2.61025  987.45 18
2467 -2.62342  971.701 18
2468 2.83829  981.175 18
2469 2.7757  998.622 18
2470 -2.49385  1008.62 18
2471 -2.75857  1004.72 18
2472 -2.73589  1006.63 18
2473 3.17468  999.83 18
2474 2.95278  1013.87 18
2475 2.71104  1012.46 18
2476 -2.56732  1014.92 18
2477 3.26727  1019.18 18
2478 -2.65694  1031.15 18
2479 2.88951  1025.18 18
2480 -3.03518  1035.46 18
2481 3.24445  1037 18
2482 -4.07941  1060.77 18
2483 2.98923  1068.71 18
2484 -2.46277  1068.5 18
2485 -2.77257  1088.18 18
2486 2.74948  1082.53 18
2487 -3.12092  1082.09 18
2488 -3.08864  1063.05 18
2489 3.1128  1057.17 18
2490 -2.66574  1044.49 18
2491 2.4288  1042.35 18
2492 -2.64715  1037.52 18
2493 -3.11804  1045.4 18
2494 -2.46993  1051.26 18
2495 2.98575  1055.41 18
2496 -2.48343  1061.42 18
2497 2.51784  1053.98 18
2498 -2.59043  1054.01 18
2499 -2.95105  1060.1 18
2500 3.84085  1039.92 18
2501 -3.82102  1035.68 18
2502 2.88222  1043.19 18
2503 -3.11199  1031.8 18
2504 -3.78737  1018.44 18
2505 3.14812  1026.45 18
2506 2.91674  1028.12 18
2507 2.61009  1016.96 18
2508 2.827  1000.44 18
2509 2.66462  995.653 18
2510 -3.08854  990.642 18
2511 2.82582  998.716 18
2512 3.92327  984.881 18
2513 -3.28039  974.481 18
2514 3.00542  974.673 18
2515 -3.19774  978.277 18
2516 -2.89971  977.981 18
2517 -3.19374  972.896 18
2518 2.36926  973.443 18
2519 -2.35409  964.057 18
2520 -2.57345  960.391 18
2521 3.24546  963.733 18
2522 -3.06916  984.592 18
2523 -3.0911  999.777 18
2524 3.2349  1005.22 18
2525 -2.91934  1020.37 18
2526 -2.66671  1010.24 18
2527 -3.01542  1008.5 18
2528 -2.34373  1008.53 18
2529 3.76955  991.423 18
2530 -2.44925  985.951 18
2531 2.85074  977.111 18
2532 3.17484  968.643 18
2533 2.75106  966.322 18
2534 2.77936  956.584 18
2535 -2.26214  950.138 18
2536 2.06278  945.645 18
2537 2.26963  938.371 18
2538 -2.21196  930.451 18
2539 2.69041  929.518 18
2540 -3.02716  929.656 18
2541 -2.6348  944.242 18
2542 -2.28913  932.742 18
2543 2.31596  915.908 18
2544 2.04825  905.956 18
2545 -2.87097  898.653 18
2546 -3.44773  879.854 18
2547 -2.39094  881.248 18
2548 3.99098  871.938 18
2549 -3.12472  884.049 18
2550 2.86672  883.194 18
2551 2.22498  897.003 18
2552 4.04137  882.184 18
2553 -4.041  870.106 18
2554 -3.53933  870.352 18
2555 -2.9791  879.569 18
2556 3.4016  867.86 18
2557 2.84394  872.121 18
2558 -2.68253  869.958 18
2559 -3.15873  873.217 18
2560 -3.10805  862.997 18
2561 2.46078  863.325 18
2562 3.21372  868.766 18
2563 2.55601  869.82 18
2564 -2.59338  878.813 18
2565 -2.39442  885.37 18
2566 -2.43397  878.109 18
2567 2.32984  879.024 18
2568 -2.51612  882.925 18
2569 -3.71002  888.995 18
2570 4.00885  874.68 18
2571 -3.00893  884.248 18
2572 2.3778  882.082 18
2573 -2.71579  881.673 18
2574 2.87085  878.581 18
2575 2.19452  880.736 18
2576 3.13399  874.689 18
2577 -2.58562  874.154 18
2578 2.72244  882.834 18
2579 -3.147  877.817 18
2580 2.32689  888.094 18
2581 -2.77649  893.175 18
2582 3.05687  885.718 18
2583 2.5465  884.297 18
2584 -2.8908  869.938 18
2585 -2.86206  882.914 18
2586 -2.57225  876.468 18
2587 -2.88755  879.204 18
2588 2.24009  883.3 18
2589 -2.74089  887.043 18
2590 3.11551  891.005 18
2591 2.72661  905.781 18
2592 2.66666  905.722 18
2593 2.49606  922.15 18
2594 -3.00288  925.678 18
2595 -2.41583  940.186 18
2596 3.37287  943.099 18
2597 -3.10958  941.728 18
2598 2.86148  938.189 18
2599 4.25094  928.341 18
2600 2.61877  933.021 18
2601 -2.68113  922.67 18
2602 -2.50232  917.824 18
2603 2.16229  910.865 18
2604 -2.52129  905.108 18
2605 2.66158  914.867 18
2606 2.76002  919.335 18
2607 -3.32584  937.822 18
2608 2.07246  953.331 18
2609 2.20161  950.497 18
2610 2.82089  944.43 18
2611 -3.93319  949.857 18
2612 3.46427  993.514 18
2613 2.80579  997.279 18
2614 -3.00762  1001.5 18
2615 3.44366  1006.09 18
2616 -3.50187  1007.28 18
2617 2.46242  1021.52 18
2618 2.91839  1052.06 18
2619 -3.12222  1103.21 18
2620 3.34835  1114.68 18
2621 -4.34734  1108.19 18
2622 3.738  1138.09 18
2623 3.63126  1158.65 18
2624 -4.50728  1170.01 18
2625 3.46108  1165.42 18
2626 3.66148  1172.89 18
2627 -2.51121  1189.1 18
2628 -4.28679  1190.08 18
2629 2.07043  1219.6 18
2630 2.60663  1212.56 18
2631 -2.46788  1209.8 18
2632 3.35295  1203.85 18
2633 2.6796  1228.18 18
2634 2.64219  1243.01 18
2635 -3.436  1241.28 18
2636 -2.69461  1259.82 18
2637 3.79525  1247.4 18
2638 2.63422  1258.94 18
2639 -2.50486  1246.14 18
2640 -3.3611  1238.18 18
2641 3.47159  1228.92 18
2642 -3.84822  1231.1 18
2643 3.71161  1254.07 18
2644 3.08764  1246.54 18
2645 3.19499  1247.62 18
2646 3.61335  1230.72 18
2647 -4.34073  1212.73 18
2648 2.77768  1224.12 18
2649 3.04743  1212.9 18
2650 -3.284  1206.69 18
2651 -3.15094  1208.44 18
2652 3.57025  1205.7 18
2653 3.83227  1200.43 18
2654 3.04389  1190.77 18
2655 -3.05449  1202.13 18
2656 -3.01386  1197.26 18
2657 3.06739  1202.92 18
2658 -2.84528  1213.05 18
2659 -4.28835  1209.86 18
2660 3.0474  1224.78 18
2661 2.7997  1233.22 18
2662 2.74909  1235.25 18
2663 -3.44862  1234.79 18
2664 3.0901  1239.03 18
2665 -2.74999  1243.25 18
2666 2.99911  1239.98 18
2667 3.35402  1244.71 18
2668 2.78321  1233.28 18
2669 -2.83046  1227.35 18
2670 2.66961  1231.98 18
2671 2.78703  1230.88 18
2672 -3.04215  1211.07 18
2673 -4.07345  1170.69 18
2674 -2.37382  1178.23 18
2675 2.70677  1158.08 18
2676 -2.99571  1160.07 18
2677 -3.24751  1168.74 18
2678 2.42671  1164.79 18
2679 -2.75127  1113.83 18
2680 3.0041  1070.1 18
2681 -3.18918  1063.79 18
2682 4.53161  1055.57 18
2683 -3.07618  1055.43 18
2684 3.04436  1047.78 18
2685 -3.5538  1027.25 18
2686 3.44769  1041.45 18
2687 2.66806  1044.97 18
2688 -3.13386  1034.41 18
2689 -2.71126  1024.89 18
2690 2.52614  1007.36 18
2691 2.54036  1009.92 18
2692 -2.79433  1016.92 18
2693 -3.65106  1011.33 18
2694 2.53678  1002.47 18
2695 3.18419  989.651 18
2696 -3.16078  984.722 18
2697 3.04449  970.076 18
2698 -3.64152  977.451 18
2699 -2.58465  994.561 18
2700 -3.24697  996.274 18
2701 -2.7622  996.873 18
2702 3.20096  1005.92 18
2703 2.75852  1004.62 18
2704 2.59935  990.719 18
2705 -2.75711  994.465 18
2706 3.46707  992.383 18
2707 3.48512  992.82 18
2708 -2.98347  992.606 18
2709 2.89916  987.634 18
2710 -3.64111  989.597 18
2711 -2.43234  1009.97 18
2712 -3.00969  998.583 18
2713 3.07785  987.839 18
2714 3.06007  981.407 18
2715 -2.97164  980.102 18
2716 -3.36069  970.078 18
2717 3.68715  959.858 18
2718 4.1451  935.314 18
2719 -2.66241  935.373 18
2720 2.42826  939.659 18
2721 2.65596  928.62 18
2722 2.47416  936.296 18
2723 -2.68768  937.822 18
2724 -2.1807  930.995 18
2725 -2.92372  932.098 18
2726 2.86939  932.775 18
2727 -2.59507  934.846 18
2728 -2.71588  925.259 18
2729 3.37653  927.286 18
2730 -2.96448  939.899 18
2731 -2.60804  944.918 18
2732 2.24102  959.129 18
2733 3.33706  950.354 18
2734 -2.9304  952.971 18
2735 3.08699  948.726 18
2736 3.53021  961.527 18
2737 -2.44219  968.978 18
2738 2.43944  972.716 18
2739 -3.76166  959.061 18
2740 3.14964  968.452 18
2741 4.32315  961.817 18
2742 -2.71206  970.226 18
2743 -3.38181  967.865 18
2744 -2.27999  980.729 18
2745 2.47872  995.537 18
2746 -2.30984  991.17 18
2747 -2.08412  972.896 18
2748 2.67867  973.369 18
2749 2.49884  981.641 18
2750 -2.94664  975.445 18
2751 2.71497  988.788 18
2752 -3.38228  999.338 18
2753 -2.74728  1020.11 18
2754 -2.80073  1027.35 18
2755 2.79782  1031.68 18
2756 3.79449  1029.04 18
2757 -3.40782  1035.77 18
2758 -3.57724  1038.22 18
2759 -3.37936  1029.07 18
2760 3.90538  1018.9 18
2761 3.28534  1025.37 18
2762 3.97755  1031.16 18
2763 -3.51218  1037.83 18
2764 -2.39285  1049.8 18
2765 -3.4362  1052.87 18
2766 3.20293  1058.94 18
2767 -2.75651  1061.62 18
2768 -2.73774  1067.25 18
2769 -2.34671  1085.84 18
2770 -2.7454  1090.64 18
2771 -2.42321  1096.72 18
2772 -2.98098  1094.91 18
2773 2.54299  1110.68 18
2774 3.14705  1116.28 18
2775 -3.64804  1124.57 18
2776 -3.12682  1143.58 18
2777 2.69003  1152.71 18
2778 -3.05448  1173.03 18
2779 3.4781  1178.16 18
2780 3.27273  1191.55 18
2781 4.15996  1179.83 18
2782 -3.80243  1207.05 18
2783 -4.16829  1195.8 18
2784 -3.06662  1207.05 18
2785 3.22231  1198.46 18
2786 2.88154  1210.31 18
2787 2.71639  1207.41 18
2788 2.52837  1197.63 18
2789 2.78195  1202.01 18
2790 -2.74595  1184.6 18
2791 -2.928  1179.85 18
2792 -2.77752  1197.77 18
2793 4.27277  1203.28 18
2794 3.16922  1207.65 18
2795 -3.45011  1217.29 18
2796 -4.02064  1221.2 18
2797 3.33911  1224.4 18
2798 3.20996  1211.6 18
2799 -3.72075  1206.88 18
2800 -2.53275  1217.18 18
2801 3.22157  1215.38 18
2802 2.77728  1222.36 18
2803 -4.12166  1215.83 18
2804 -2.98063  1228.77 18
2805 -2.90342  1234.14 18
2806 -3.39984  1225.76 18
2807 3.47266  1224.02 18
2808 -3.42809  1236.96 18
2809 -2.91096  1262.62 18
2810 3.10457  1250.76 18
2811 2.2428  1244.88 18
2812 -2.75791  1237.83 18
2813 -2.56105  1213.91 18
2814 2.56655  1197.97 18
2815 -2.89836  1194.13 18
2816 3.09856  1198.9 18
2817 -3.05888  1201.36 18
2818 2.16647  1208.63 18
2819 2.82081  1216.92 18
2820 -3.02893  1227.71 18
2821 3.80921  1213.79 18
2822 -2.63334  1221.8 18
2823 -3.66739  1209.09 18
2824 2.89309  1201.82 18
2825 -3.37103  1197.94 18
2826 -3.09318  1186.8 18
2827 3.19326  1182.18 18
2828 -2.79612  1189.08 18
2829 -2.41503  1191.68 18
2830 3.27707  1168.76 18
2831 -2.82223  1174.78 18
2832 -3.10438  1162.23 18
2833 3.51325  1151.77 18
2834 3.75765  1141.94 18
2835 -4.44937  1121.71 18
2836 -2.99385  1118.98 18
2837 3.6176  1099.07 18
2838 3.19089  1096.65 18
2839 3.67371  1075.66 18
2840 -2.92457  1085.18 18
2841 -2.6087  1072.16 18
2842 3.08245  1068.04 18
2843 -2.43231  1058.63 18
2844 2.56865  1076.59 18
2845 2.96211  1103.5 18
2846 3.18925  1119.66 18
2847 -2.92274  1135.69 18
2848 -3.60462  1166.27 18
2849 -2.88263  1181.73 18
