540 -2.83874  1313.06 20
541 -2.44066  1288.72 20
542 3.56351  1270.81 20
543 -2.62122  1286.22 20
544 3.18843  1281.16 20
545 2.49358  1281.64 20
546 3.55439  1272.17 20
547 -4.53601  1271.42 20
548 2.91261  1266.43 20
549 3.2688  1275.44 20
550 3.10787  1289.33 20
551 -3.30732  1296.74 20
552 -3.01304  1297.53 20
553 3.4294  1285.82 20
554 -3.452  1281.53 20
555 3.20066  1284.59 20
556 -2.52425  1280.75 20
557 3.24953  1288.17 20
558 -3.06601  1287.83 20
559 -3.27532  1287.37 20
560 2.38845  1285.98 20
561 -2.65319  1287.39 20
562 2.15752  1293.91 20
563 -2.28236  1285.74 20
564 2.79542  1279.89 20
565 -2.60498  1278.4 20
566 2.46927  1280.02 20
567 -2.80152  1275.24 20
568 2.54465  1233.47 20
569 -3.11543  1193.1 20
570 3.02117  1200.32 20
571 -2.41618  1200.67 20
572 3.01168  1187.05 20
573 -3.24104  1197.69 20
574 -2.85816  1187.13 20
575 -2.50649  1178.65 20
576 -3.11019  1161.63 20
577 3.22369  1164.38 20
578 -3.29568  1145.98 20
579 3.81521  1133.79 20
580 -3.6984  1122.92 20
581 -3.00869  1126.72 20
582 3.08538  1133.94 20
583 -2.87432  1127.16 20
584 2.39096  1134.43 20
585 -3.0166  1122.98 20
586 3.23232  1125.67 20
587 -2.98002  1124.35 20
588 2.46188  1147.15 20
589 3.17333  1141.13 20
590 2.50811  1151.68 20
591 3.12354  1151.8 20
592 -3.80225  1160.86 20
593 -3.37066  1175.8 20
594 -2.86466  1194.34 20
595 2.45706  1210.32 20
596 3.67288  1205.9 20
597 -3.25952  1203.57 20
598 3.5413  1215.39 20
599 2.50476  1221.94 20
600 2.6984  1229.57 20
601 -2.41845  1228 20
602 -3.87843  1224.6 20
603 -3.80185  1237.18 20
604 3.44003  1231.04 20
605 2.41194  1238.98 20
606 2.90438  1237.58 20
607 3.45693  1231.35 20
608 -3.71376  1219.75 20
609 -3.03875  1222.16 20
610 -3.426  1208.39 20
611 -2.72673  1214.14 20
612 -3.05442  1191.11 20
613 -3.1413  1196.18 20
614 4.17152  1195.93 20
615 3.69947  1227.58 20
616 -2.95486  1240.66 20
617 3.00757  1236.6 20
618 -3.88873  1220.7 20
619 -2.78679  1219.76 20
620 -3.16098  1229.77 20
621 -3.83663  1228.35 20
622 4.83711  1237.29 20
623 -3.47923  1250.43 20
624 -3.53321  1258.3 20
625 -3.31375  1261.26 20
626 -3.21477  1248.67 20
627 -3.38392  1248.54 20
628 -3.31215  1234.59 20
629 3.58729  1224.62 20
630 2.97946  1238.41 20
631 2.34026  1251.4 20
632 -2.95355  1258.36 20
633 3.60725  1244.38 20
634 -2.77388  1242.4 20
635 -2.69962  1260.39 20
636 -3.31416  1256 20
637 2.7559  1268.74 20
